code,1996-01-04,1997-01-06,1998-01-05,1999-01-04,2000-01-04,2001-01-04,2002-01-04,2003-01-06,2004-01-05,2005-01-04,2006-01-04,2007-01-04,2008-01-04,2009-01-05,2010-01-04,2011-01-04,2012-01-04,2013-01-04,2014-01-06,2015-01-05
002173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5379,0.7178,0.1606,-0.1562,-0.0702,0.0477,0.8215,NaN
603123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0215,0.3217,-0.0797
600881,0.8421,1.12,0.1415,0.0449,0.4746,-0.2682,-0.2094,0.0927,-0.297,-0.0922,3.2251,1.9467,-0.7223,1.2225,-0.2225,-0.3073,0.0955,-0.2437,1.0803,-0.1545
002596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5189,-0.0921,0.1709,2.23
600767,NaN,0.0154,-0.1258,0.3151,1.0264,-0.1797,-0.1635,-0.3867,-0.3673,-0.2483,0.6558,1.309,-0.6326,1.0,-0.207,-0.2276,0.0622,0.2748,1.2854,NaN
600100,NaN,NaN,-0.1377,1.1452,0.6517,-0.3344,-0.2262,0.0117,-0.0418,-0.2671,NaN,3.2919,-0.6946,0.9221,0.3491,-0.3607,-0.0746,NaN,0.2771,0.3187
600220,NaN,NaN,NaN,NaN,0.5233,-0.3692,-0.2121,-0.0604,-0.0117,-0.332,0.9477,1.7967,-0.3561,0.4646,-0.1017,-0.4568,0.0106,-0.1748,0.6949,0.275
300294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.289,0.2268,0.8418
600498,NaN,NaN,NaN,NaN,NaN,NaN,-0.4281,-0.3752,0.095,-0.1122,-0.0345,1.5804,-0.4164,1.5358,0.4767,-0.3206,-0.1817,0.3745,0.0752,0.9137
002498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4633,-0.4259,0.2226,0.1704,1.4483
000685,NaN,NaN,-0.5019,0.76,0.5166,-0.147,0.4892,-0.51,-0.2778,-0.3718,NaN,5.7152,-0.5388,1.5753,NaN,-0.2071,0.0649,-0.0183,1.082,0.0323
002156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.7204,1.5925,0.5126,-0.5947,-0.1534,0.5227,0.3664,0.9176
300439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600755,NaN,0.9677,-0.1721,-0.3064,0.2655,-0.1427,-0.2763,-0.1273,0.1458,0.0455,1.1043,2.7041,-0.6439,1.0175,-0.177,-0.3623,0.1509,0.1799,1.4314,-0.2779
601113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.163,0.0106,0.5368,0.8236
000096,NaN,NaN,NaN,NaN,NaN,-0.0817,-0.1254,0.0405,-0.2528,-0.1126,-0.0939,2.1805,-0.6828,1.0214,-0.1376,-0.3755,-0.0729,0.3192,0.6446,0.8138
600368,NaN,NaN,NaN,NaN,NaN,-0.1777,-0.209,-0.1064,-0.3947,-0.2056,0.0599,1.514,NaN,0.7745,-0.0359,-0.3202,0.1489,0.1323,0.3037,0.043
600834,0.1059,-0.0704,-0.0152,0.2487,1.7043,-0.2771,-0.2574,-0.2843,-0.1255,0.1006,0.0924,1.5771,-0.5799,1.0938,-0.1476,-0.4357,0.0609,0.0058,0.6414,0.9459
300538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600844,0.5134,0.318,0.1957,0.2108,0.6204,-0.1455,-0.2576,-0.4729,-0.5215,0.0071,NaN,2.2883,-0.519,1.3383,0.0772,-0.266,0.0329,-0.3835,0.166,NaN
002320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.037,-0.3688,-0.1631,-0.0666,0.2683,1.2564
600548,NaN,NaN,NaN,NaN,NaN,NaN,0.1891,-0.0114,-0.3988,-0.0407,NaN,1.5877,-0.6449,0.3332,-0.1402,-0.1887,-0.0972,0.0049,1.7267,0.0366
000977,NaN,NaN,NaN,NaN,NaN,-0.4364,-0.2923,-0.2355,0.0427,-0.3018,-0.1712,0.956,-0.494,1.0095,1.1848,-0.3402,-0.0301,2.226,0.9764,NaN
600791,NaN,NaN,0.3303,0.2379,0.5861,-0.1904,-0.2278,-0.1848,-0.348,-0.0798,0.3194,3.5102,-0.61,0.7203,-0.1137,-0.2662,-0.0177,0.0653,0.4397,0.2173
002008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1026,1.7429,1.4396,-0.6883,0.8403,1.1877,-0.5965,0.31,0.7695,0.1551,0.4198
601169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5657,1.0708,-0.3724,-0.195,0.2448,-0.1841,0.8795,0.1188
600172,NaN,NaN,NaN,0.3005,0.4032,-0.0503,-0.3707,-0.3197,0.0565,-0.311,0.301,0.9515,-0.5201,0.992,0.76,-0.367,0.1885,-0.0704,0.2764,1.6696
000690,NaN,NaN,-0.283,0.3158,0.88,-0.016,-0.4811,-0.1562,-0.1728,0.1791,2.281,2.6998,-0.6121,0.4516,-0.1296,-0.4536,0.558,0.1222,0.3942,0.3508
002633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1857,0.1281,1.3394,NaN
002303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3481,-0.5453,-0.1102,1.1586,0.4359,0.9066
